업종명,업소명,소재지(도로명),소재지(지번),소재지전화,데이터기준일
일반음식점,싸움의고수 양덕장성점,"경상북도 포항시 북구 천마로46번길 40, 1층 (양덕동)",경상북도 포항시 북구 양덕동 1708 ,054 -252 -1976,2025-08-14
일반음식점,역전할머니맥주 장량점,"경상북도 포항시 북구 장량중앙로 76, 1층 (양덕동)",경상북도 포항시 북구 양덕동 675-9 ,054 -252 -1995,2025-08-14
일반음식점,영포회타운209호,"경상북도 포항시 북구 해동로 187 (죽도동,죽도동상가 209호)",경상북도 포항시 북구 죽도동 568-11 죽도동상가 209호 ,054 -252 -2210,2025-08-14
일반음식점,황금식당,경상북도 포항시 북구 용흥로 220 (용흥동),경상북도 포항시 북구 용흥동 450-1 ,054 -252 -2211,2025-08-14
일반음식점,크림,"경상북도 포항시 북구 장량로173번길 6-6, 2층 (양덕동)",경상북도 포항시 북구 양덕동 1592 (2층) ,054 -252 -2237,2025-08-14
일반음식점,다왕갈비탕,"경상북도 포항시 북구 법원로 98, 1층 (장성동)",경상북도 포항시 북구 장성동 1377-1 1층 ,054 -252 -2358,2025-08-14
일반음식점,다해횟집,"경상북도 포항시 북구 해안로 241-1, 1층 (두호동)",경상북도 포항시 북구 두호동 114 1층 ,054 -252 -2530,2025-08-14
일반음식점,어탕집,"경상북도 포항시 북구 흥해읍 신덕로 80-43, 1층",경상북도 포항시 북구 흥해읍 죽천리 482-3 1층 ,054 -252 -2825,2025-08-14
일반음식점,주당식당,"경상북도 포항시 북구 두호로37번길 6-11, 1층 (두호동)",경상북도 포항시 북구 두호동 1055-14 1층 ,054 -252 -2846,2025-08-14
일반음식점,가마솥 추어탕,"경상북도 포항시 북구 삼흥로62번길 7 (장성동,(1층))",경상북도 포항시 북구 장성동 1350-11 (1층) ,054 -252 -3007,2025-08-14
일반음식점,현포식당,"경상북도 포항시 북구 삼흥로 83, 1층 (장성동)",경상북도 포항시 북구 장성동 1365-5 1층 ,054 -252 -3254,2025-08-14
일반음식점,술집,"경상북도 포항시 북구 장량중앙로100번길 18, 1층 (양덕동)",경상북도 포항시 북구 양덕동 784-1 1층 ,054 -252 -3319,2025-08-14
일반음식점,영일대궁,"경상북도 포항시 북구 해안로 213-1, 1,2층 (두호동)",경상북도 포항시 북구 두호동 164 ,054 -252 -3388,2025-08-14
일반음식점,88솥뚜껑삼겹살,"경상북도 포항시 북구 중흥로214번길 20, 1층 (죽도동)",경상북도 포항시 북구 죽도동 334-43 ,054 -252 -3533,2025-08-14
일반음식점,전복나라,"경상북도 포항시 남구 희망대로 625, 1,2층 (대잠동)","경상북도 포항시 남구 대잠동 909-6 1,2층 ",054 -252 -3535,2025-08-14
일반음식점,회정막걸리,"경상북도 포항시 북구 새마을로 5, 1층 (대흥동)",경상북도 포항시 북구 대흥동 661-7 1층 ,054 -252 -3911,2025-08-14
일반음식점,영주식당,"경상북도 포항시 북구 삼호로245번길 13-2, 1층 (두호동)",경상북도 포항시 북구 두호동 1030-6 ,054 -252 -3925,2025-08-14
일반음식점,아시안푸드청림 청림점,"경상북도 포항시 남구 청림서길 15, 1층 (청림동)",경상북도 포항시 남구 청림동 18-4 1층 ,054 -252 -4471,2025-08-14
일반음식점,바른김치찜 남구점,"경상북도 포항시 남구 상도로54번길 10, 1층 (상도동)",경상북도 포항시 남구 상도동 627 1층 ,054 -252 -4500,2025-08-14
일반음식점,BHC치킨(창포점),경상북도 포항시 북구 성실로 68 (장성동),경상북도 포항시 북구 장성동 912 ,054 -252 -4533,2025-08-14
일반음식점,태영생막창,"경상북도 포항시 북구 천마로46번길 13, 1층 (양덕동)",경상북도 포항시 북구 양덕동 1508 1층 ,054 -252 -4576,2025-08-14
일반음식점,투다리(신천지점),"경상북도 포항시 북구 두호로37번길 7 (두호동,록원빌딩 101호)",경상북도 포항시 북구 두호동 1050 록원빌딩 101호 ,054 -252 -4617,2025-08-14
일반음식점,타마시텐,경상북도 포항시 북구 장량로 194 (양덕동),경상북도 포항시 북구 양덕동 1702 ,054 -252 -4998,2025-08-14
일반음식점,차이난짬뽕 양덕점,"경상북도 포항시 북구 장량로189번길 5-6, 1층 (양덕동)",경상북도 포항시 북구 양덕동 1582 1층 ,054 -252 -5235,2025-08-14
일반음식점,한우왕 청통한우(포항점),경상북도 포항시 북구 장량로61번길 52 (장성동),경상북도 포항시 북구 장성동 1388-15 ,054 -252 -5239,2025-08-14
일반음식점,오리진,,경상북도 포항시 북구 흥해읍 학천리 316-1 ,054 -252 -5292,2025-08-14
일반음식점,맛있는 포차,"경상북도 포항시 북구 대곡로29번길 14-3, 1층 (두호동)",경상북도 포항시 북구 두호동 1098-5 1층 ,054 -252 -5359,2025-08-14
일반음식점,영일대 한티재,"경상북도 포항시 북구 삼호로 384, 1층 (환호동)",경상북도 포항시 북구 환호동 422-4 ,054 -252 -5382,2025-08-14
일반음식점,별난국수,"경상북도 포항시 북구 해안로 57-2, 1층 (항구동)",경상북도 포항시 북구 항구동 17-30 ,054 -252 -5388,2025-08-14
일반음식점,우리민물장어,"경상북도 포항시 북구 새천년대로 1367, 2층 (장성동)",경상북도 포항시 북구 장성동 1433-6 2층 ,054 -252 -5440,2025-08-14
일반음식점,포항호우유양꼬치(好友串城),"경상북도 포항시 남구 이동로 10-1, 1층 (이동)",경상북도 포항시 남구 이동 643-4 ,054 -252 -5444,2025-08-14
일반음식점,영일대한식,"경상북도 포항시 북구 두호로20번길 14, 1층 (두호동)",경상북도 포항시 북구 두호동 1028-1 1층 ,054 -252 -5489,2025-08-14
일반음식점,송도고깃집,"경상북도 포항시 남구 희망대로 1187, 라포엠 2층 (송도동)","경상북도 포항시 남구 송도동 254-351 라포엠, 2층 ",054 -252 -5555,2025-08-14
일반음식점,여천식당,경상북도 포항시 북구 동빈로 36 (동빈2가),경상북도 포항시 북구 동빈2가 136-24 ,054 -252 -5563,2025-08-14
일반음식점,인생술집,"경상북도 포항시 북구 해안로 65, 2층 (항구동)",경상북도 포항시 북구 항구동 17-228 2층 ,054 -252 -5564,2025-08-14
일반음식점,목구멍 포항점,"경상북도 포항시 북구 장량로32번길 65, 1층 (장성동)",경상북도 포항시 북구 장성동 1566-5 ,054 -252 -5590,2025-08-14
일반음식점,집밥한끼,경상북도 포항시 북구 장량주택로 8 (양덕동),경상북도 포항시 북구 양덕동 752-10 ,054 -252 -5733,2025-08-14
일반음식점,한솔식당,"경상북도 포항시 남구 서동로 155, 1층 (송도동)",경상북도 포항시 남구 송도동 392-40 (1층) ,054 -252 -5853,2025-08-14
일반음식점,옛날그집,경상북도 포항시 북구 신광면 신흥로 336,경상북도 포항시 북구 신광면 호리 606-7 ,054 -252 -5921,2025-08-14
일반음식점,써니,"경상북도 포항시 북구 법원로97번길 10, 1층 (장성동)",경상북도 포항시 북구 장성동 1511-14 ,054 -252 -5968,2025-08-14
일반음식점,리치(Rich),"경상북도 포항시 북구 천마로46번길 14, 1층 (양덕동)",경상북도 포항시 북구 양덕동 1528-1 (1층) ,054 -252 -5989,2025-08-14
일반음식점,대내실식당,"경상북도 포항시 북구 법원로 91 (장성동,(1층))",경상북도 포항시 북구 장성동 1525-3 (1층) ,054 -252 -6445,2025-08-14
일반음식점,최가네 꽁보리밥,"경상북도 포항시 북구 양덕남로 75, 1층 (양덕동)",경상북도 포항시 북구 양덕동 1649-5 ,054 -252 -6626,2025-08-14
일반음식점,동근이숯불두마리치킨(두호점),"경상북도 포항시 북구 새천년대로1076번길 26-6, 1층 (두호동)",경상북도 포항시 북구 두호동 1104-2 ,054 -252 -6879,2025-08-14
일반음식점,이스턴힐,"경상북도 포항시 북구 흥해읍 죽천길83번길 22-50, 가동 1층",경상북도 포항시 북구 흥해읍 죽천리 57-8 ,054 -252 -7100,2025-08-14
일반음식점,징기스 영일대점,"경상북도 포항시 북구 해안로 119, 1층 (두호동)",경상북도 포항시 북구 두호동 547 ,054 -252 -7676,2025-08-14
일반음식점,스푼필라프 북부점,"경상북도 포항시 북구 장량로 39, 1층 (장성동)",경상북도 포항시 북구 장성동 1525-7 ,054 -252 -7746,2025-08-14
일반음식점,말랑블링 포항점,"경상북도 포항시 북구 중앙상가4길 16-4, 3층 (대흥동)",경상북도 포항시 북구 대흥동 547 ,054 -252 -7776,2025-08-14
일반음식점,이승윤 알통 떡강정,"경상북도 포항시 북구 삼호로 475, A동 1층 101호,106호 (환호동, 환호종합상가)",경상북도 포항시 북구 환호동 502-1 ,054 -252 -7792,2025-08-14
일반음식점,아리랑감자탕해장국,"경상북도 포항시 북구 신덕로 293, 2층 (장성동)",경상북도 포항시 북구 장성동 1491-9 ,054 -252 -7799,2025-08-14
일반음식점,페리카나치킨(효자점),"경상북도 포항시 남구 효자로118번길 27, 1층 (효자동)",경상북도 포항시 남구 효자동 119-1 (1층) ,054 -252 -7800,2025-08-14
일반음식점,박가네,"경상북도 포항시 남구 오천읍 냉천로340번길 21, 1층",경상북도 포항시 남구 오천읍 문덕리 195-5 1층 ,054 -252 -7877,2025-08-14
일반음식점,비에이치씨(BHC) 포항영일대점,"경상북도 포항시 북구 해안로 205, 1~3층 (두호동)",경상북도 포항시 북구 두호동 184-1 1~3층 ,054 -252 -7881,2025-08-14
일반음식점,예담,경상북도 포항시 북구 양덕로44번길 20 (양덕동),경상북도 포항시 북구 양덕동 1829 (1층) ,054 -252 -8288,2025-08-14
일반음식점,바다한상,"경상북도 포항시 북구 삼호로253번길 3, 1층 (두호동)",경상북도 포항시 북구 두호동 1034-1 ,054 -252 -8377,2025-08-14
일반음식점,빈자리,"경상북도 포항시 남구 중앙로122번길 26, 1층 (해도동)",경상북도 포항시 남구 해도동 437-28 (1층) ,054 -252 -8420,2025-08-14
일반음식점,본가육개장,"경상북도 포항시 남구 문예로 50-1, 1층 (대도동)",경상북도 포항시 남구 대도동 150-32 ,054 -252 -8450,2025-08-14
일반음식점,원조할매국밥,"경상북도 포항시 북구 대곡로 57 (두호동,(지하1층))",경상북도 포항시 북구 두호동 1094-2 (지하1층) ,054 -252 -8818,2025-08-14
일반음식점,투다리 천마로점,"경상북도 포항시 북구 천마로46번길 18, 1층 (양덕동)",경상북도 포항시 북구 양덕동 1556 ,054 -252 -8825,2025-08-14
일반음식점,우공fish회초밥 포항장성동점,"경상북도 포항시 북구 대곡로43번길 10 (두호동,(109호))",경상북도 포항시 북구 두호동 1097-2 (109호) ,054 -252 -9024,2025-08-14
일반음식점,포항 바다원해,"경상북도 포항시 북구 해안로 397, 1~3층 (환호동)",경상북도 포항시 북구 환호동 53 1층 일부 및 2~3층 전체 ,054 -252 -9200,2025-08-14
일반음식점,광어총각 생굴처녀,"경상북도 포항시 북구 장량로31번길 12, 1층 (장성동)",경상북도 포항시 북구 장성동 1512-9 1층 ,054 -252 -9251,2025-08-14
일반음식점,투다리 갤러리점,"경상북도 포항시 북구 법원로11번길 6 (장성동,(서지구76B-11L))",경상북도 포항시 북구 장성동 1562-17 (서지구76B-11L) ,054 -252 -9252,2025-08-14
일반음식점,동궁찜닭,"경상북도 포항시 북구 장량로 199 (양덕동,(1층))",경상북도 포항시 북구 양덕동 1755 (1층) ,054 -252 -9388,2025-08-14
일반음식점,처갓집양념치킨(법원점),"경상북도 포항시 북구 신덕로 289, 1층 (장성동)",경상북도 포항시 북구 장성동 1491-4 ,054 -252 -9946,2025-08-14
일반음식점,돈이돈이 석쇠한판,"경상북도 포항시 북구 삼흥로18번길 6, 101호 (두호동, 산호그린1차상가)",경상북도 포항시 북구 두호동 1086 산호그린1차상가 101호,054 -252 -9969,2025-08-14
일반음식점,서숲닭곰탕,"경상북도 포항시 북구 소티재로 134, 1층 (우현동)",경상북도 포항시 북구 우현동 271-1 ,054 -252 -9979,2025-08-14
일반음식점,가정초밥(영일대점),"경상북도 포항시 북구 삼호로 254 (두호동,(1층))",경상북도 포항시 북구 두호동 1008-1 (1층) ,054 -253 -0003,2025-08-14
일반음식점,플랜트플래닛(Plantplanet),"경상북도 포항시 북구 장량로158번길 25, 1층 (양덕동)",경상북도 포항시 북구 양덕동 1519 1층 ,054 -253 -0007,2025-08-14
일반음식점,이스턴스타트하우스,"경상북도 포항시 북구 청하면 용산길 94, 이스턴컨트리클럽","경상북도 포항시 북구 청하면 신흥리 산 3 이스턴컨트리클럽 나, 다동 ",054 -253 -0070,2025-08-14
일반음식점,블랙독,"경상북도 포항시 북구 환호공원길 33-1, 1층 (환호동)",경상북도 포항시 북구 환호동 394-4 1층 ,054 -253 -0202,2025-08-14
일반음식점,아그집쭈꾸미,"경상북도 포항시 북구 천마로 77 (양덕동,(A동-1층))",경상북도 포항시 북구 양덕동 1342 (A동-1층) ,054 -253 -0700,2025-08-14
일반음식점,푸드딜라이트 장량점,"경상북도 포항시 북구 법원로 51-1 (장성동,(1층))",경상북도 포항시 북구 장성동 1537-12 (1층) ,054 -253 -0890,2025-08-14
일반음식점,헤스티아,,경상북도 포항시 북구 항구동 13 우방비치타운상가 202동 103호,054 -253 -0988,2025-08-14
일반음식점,신마장동뒷고기,경상북도 포항시 북구 장량중앙로 80-1 (양덕동),경상북도 포항시 북구 양덕동 692-4 102호,054 -253 -0999,2025-08-14
일반음식점,요하마라21 포항북구점,"경상북도 포항시 북구 법원로111번길 5-8, 1층 (장성동)",경상북도 포항시 북구 장성동 1511-7 1층 ,054 -253 -0999,2025-08-14
일반음식점,불미골 언덕집,경상북도 포항시 북구 침촌마을길 238 (양덕동),경상북도 포항시 북구 양덕동 1063 ,054 -253 -1212,2025-08-14
일반음식점,장미,"경상북도 포항시 북구 해안로 107 (두호동,(가동-2층))",경상북도 포항시 북구 두호동 611 (가동-2층) ,054 -253 -2030,2025-08-14
일반음식점,신의주 찹쌀순대(청하점),"경상북도 포항시 북구 청하면 동해대로 2484, 가동 1층",경상북도 포항시 북구 청하면 미남리 214-1 용산휴게소 ,054 -253 -2220,2025-08-14
일반음식점,바른초밥,"경상북도 포항시 북구 천마로 73, 1층 (양덕동)",경상북도 포항시 북구 양덕동 1344 1층 ,054 -253 -2552,2025-08-14
일반음식점,역전할머니맥주 포항두호점,"경상북도 포항시 북구 대곡로29번길 14-6, 1층 (두호동)",경상북도 포항시 북구 두호동 1099-1 1층 ,054 -253 -3053,2025-08-14
일반음식점,고을국수방,"경상북도 포항시 북구 삼흥로74번길 30, 두호종합상가 A동 25호 (두호동)",경상북도 포항시 북구 두호동 1078-2 두호종합상가 A동 25호,054 -253 -3361,2025-08-14
일반음식점,닥엔돈스 양덕점,"경상북도 포항시 북구 양덕로44번길 12, 1층 (양덕동)",경상북도 포항시 북구 양덕동 1763 ,054 -253 -4322,2025-08-14
일반음식점,(주)소망 시민장례식장,"경상북도 포항시 북구 새천년대로 1191, 지하1층 (장성동)",경상북도 포항시 북구 장성동 854-12 ,054 -253 -4444,2025-08-14
일반음식점,영일대 명물 포항초 닭강정,"경상북도 포항시 북구 대곡로29번길 10-7, 1층 (두호동)",경상북도 포항시 북구 두호동 1099-10 1층 ,054 -253 -4542,2025-08-14
일반음식점,해맞이 손칼국수,"경상북도 포항시 북구 환호공원길 15, 환호종합시장 A동 107호 (환호동)",경상북도 포항시 북구 환호동 377-5 환호종합시장 A동 107호,054 -253 -4793,2025-08-14
일반음식점,이춘봉인생치킨,"경상북도 포항시 북구 우창로 166-1, 241동 1층 103호 (창포동)",경상북도 포항시 북구 창포동 산 32-11 241동 103호 1층 ,054 -253 -4988,2025-08-14
일반음식점,영일대 샤브,"경상북도 포항시 북구 환호공원길 3, 4층 (환호동)",경상북도 포항시 북구 환호동 367 4층 ,054 -253 -5333,2025-08-14
일반음식점,포비엣 플러스,"경상북도 포항시 북구 장량로174번길 6-11, 1층 (양덕동)",경상북도 포항시 북구 양덕동 1509 1층 ,054 -253 -5777,2025-08-14
일반음식점,해물마당,"경상북도 포항시 북구 대곡로29번길 10 (두호동,(1층))",경상북도 포항시 북구 두호동 1099-3 (1층) ,054 -253 -6043,2025-08-14
일반음식점,the달(더 달),경상북도 포항시 북구 천마로72번길 10 (양덕동),경상북도 포항시 북구 양덕동 1466-1 (1층) ,054 -253 -6155,2025-08-14
일반음식점,어탕,"경상북도 포항시 북구 양덕로30번길 48, 1동 1층 (양덕동)",경상북도 포항시 북구 양덕동 2100 (1층) 1동 ,054 -253 -6288,2025-08-14
일반음식점,육대장(포항양덕점),"경상북도 포항시 북구 신덕로 185, 1층 (양덕동)",경상북도 포항시 북구 양덕동 1298 1층 ,054 -253 -6669,2025-08-14
일반음식점,청록담 복어,"경상북도 포항시 북구 장량로190번길 5, 1층 (양덕동)",경상북도 포항시 북구 양덕동 1699 ,054 -253 -6698,2025-08-14
일반음식점,세이슈 본점,"경상북도 포항시 북구 대곡로 55-31, 1층 (두호동)",경상북도 포항시 북구 두호동 1096-7 (1층) ,054 -253 -7338,2025-08-14
일반음식점,어림지(장성점),경상북도 포항시 북구 새천년대로 1308 (장성동),경상북도 포항시 북구 장성동 1446-3 ,054 -253 -7755,2025-08-14
일반음식점,최강 전당포,경상북도 포항시 북구 장성로 7 (장성동),경상북도 포항시 북구 장성동 1447-13 ,054 -253 -7771,2025-08-14
일반음식점,대명식당,"경상북도 포항시 남구 송도로 19, 1층 (송도동)",경상북도 포항시 남구 송도동 432-17 1층 ,054 -253 -7776,2025-08-14
일반음식점,컴포즈커피 양덕점,"경상북도 포항시 북구 천마로72번길 22, 2층 202호 (양덕동)",경상북도 포항시 북구 양덕동 1570 202호,054 -253 -7800,2025-08-14
일반음식점,포항고기제철소,"경상북도 포항시 북구 두호로6번길 6-1, 1층 (두호동)",경상북도 포항시 북구 두호동 1035-11 (1층) ,054 -253 -8582,2025-08-14
일반음식점,명천회식당,경상북도 포항시 북구 삼호로 70 (동빈1가),경상북도 포항시 북구 동빈1가 71-74 ,054 -253 -8585,2025-08-14
일반음식점,고기명가,"경상북도 포항시 북구 우창동로 29, 1층 (우현동)",경상북도 포항시 북구 우현동 50-12 ,054 -253 -8780,2025-08-14
일반음식점,거복곱창,"경상북도 포항시 북구 성실로 22-1 (장성동,1층)",경상북도 포항시 북구 장성동 866-179 1층 ,054 -253 -8877,2025-08-14
일반음식점,미남장어,"경상북도 포항시 북구 장량로 238, 1층 (양덕동)",경상북도 포항시 북구 양덕동 1912 1층 ,054 -253 -8892,2025-08-14
일반음식점,압구정화로구이 포항창포점,경상북도 포항시 북구 대곡로 53 (두호동),경상북도 포항시 북구 두호동 1096-3 ,054 -253 -9090,2025-08-14
일반음식점,서산꿀돼지,"경상북도 포항시 북구 장량로32번길 29, 1층 (장성동)",경상북도 포항시 북구 장성동 1539-14 (1층) ,054 -253 -9233,2025-08-14
일반음식점,홍굴이해물짬뽕,경상북도 포항시 북구 흥해읍 동해대로 1756,경상북도 포항시 북구 흥해읍 용전리 50-9 ,054 -253 -9292,2025-08-14
일반음식점,올리앤,"경상북도 포항시 북구 흥해읍 신덕로 80-25, 1층",경상북도 포항시 북구 흥해읍 죽천리 474 ,054 -253 -9300,2025-08-14
일반음식점,BRD백록담,"경상북도 포항시 북구 장량로 190 (양덕동,상가 3호)",경상북도 포항시 북구 양덕동 1612 상가 3호 ,054 -253 -9595,2025-08-14
일반음식점,푸짐한삼겹살,"경상북도 포항시 북구 법원로 33, 1층 (장성동)",경상북도 포항시 북구 장성동 1561-11 ,054 -253 -9800,2025-08-14
일반음식점,삼바리,경상북도 포항시 북구 삼호로 220-1 (두호동),경상북도 포항시 북구 두호동 645 ,054 -253 -9922,2025-08-14
일반음식점,부어치킨 포항효곡점,"경상북도 포항시 남구 유동길 30 (효자동, 101호)",경상북도 포항시 남구 효자동 438-15 단비마을101호 ,054 -253 -9966,2025-08-14
일반음식점,처갓집양념치킨 용흥점,"경상북도 포항시 북구 새마을로 88, 한라코아상가 1층 1-7호 (용흥동)",경상북도 포항시 북구 용흥동 357-13 ,054 -253 -9979,2025-08-14
일반음식점,동막골,"경상북도 포항시 북구 삼흥로32번길 13, 105호 (장성동, 경진빌딩)",경상북도 포항시 북구 장성동 1354 경진빌딩 105호,054 -253 -9992,2025-08-14
일반음식점,처갓집 양념치킨 항구.영일대점,"경상북도 포항시 북구 삼호로 171, 202동 1층 105호 (항구동)",경상북도 포항시 북구 항구동 13 202동 105호,054 -253 -9996,2025-08-14
일반음식점,진 김밥나라,"경상북도 포항시 북구 천마로72번길 36, 1층 (양덕동)",경상북도 포항시 북구 양덕동 1581 ,054 -254 -0008,2025-08-14
일반음식점,그집한우 소머리국밥,"경상북도 포항시 북구 양덕남로 93 (양덕동,(1층))",경상북도 포항시 북구 양덕동 1803-1 (1층) ,054 -254 -0037,2025-08-14
일반음식점,국제시장,경상북도 포항시 북구 두호로6번길 5-7 (두호동),경상북도 포항시 북구 두호동 1032-4 ,054 -254 -0082,2025-08-14
일반음식점,모녀밥상,"경상북도 포항시 북구 장량로32번길 79, 1층 (장성동)",경상북도 포항시 북구 장성동 1573-18 1층 ,054 -254 -0084,2025-08-14
일반음식점,김서방뒷고기,경상북도 포항시 북구 법원로39번길 30 (장성동),경상북도 포항시 북구 장성동 1552-16 ,054 -254 -0583,2025-08-14
일반음식점,국대동태탕,"경상북도 포항시 북구 법원로 178, 1층 103호 (양덕동)",경상북도 포항시 북구 양덕동 657-2 1층 103호 ,054 -254 -1022,2025-08-14
일반음식점,포메인,,경상북도 포항시 북구 양덕동 1344 (1층) ,054 -254 -1160,2025-08-14
일반음식점,뜨돈,"경상북도 포항시 북구 장량로 215, 1층 (양덕동)",경상북도 포항시 북구 양덕동 1828 ,054 -254 -1230,2025-08-14
일반음식점,뺑쓰하우스,"경상북도 포항시 북구 양덕로44번길 2, 1층 (양덕동)",경상북도 포항시 북구 양덕동 1752 ,054 -254 -2225,2025-08-14
일반음식점,퐝짬뽕,"경상북도 포항시 북구 새천년대로1249번길 10-6, 1층 (장성동)",경상북도 포항시 북구 장성동 1572-17 1층 ,054 -254 -2277,2025-08-14
일반음식점,틸트,"경상북도 포항시 북구 삼호로 243 (두호동,(1층))",경상북도 포항시 북구 두호동 1035-2 (1층) ,054 -254 -2344,2025-08-14
일반음식점,스시랑,"경상북도 포항시 북구 용두산길 29, 1층 (장성동)",경상북도 포항시 북구 장성동 1353-2 1층 ,054 -254 -2555,2025-08-14
일반음식점,홍대포차,"경상북도 포항시 북구 불종로 69, 1층 (중앙동)","경상북도 포항시 북구 중앙동 46 ,1층 ",054 -254 -3321,2025-08-14
일반음식점,우리막창 장성점,"경상북도 포항시 북구 법원로11번길 12, 1층 (장성동)",경상북도 포항시 북구 장성동 1565-5 ,054 -254 -3690,2025-08-14
일반음식점,열정국밥,"경상북도 포항시 북구 대곡로43번길 7-7, 1층 (두호동)",경상북도 포항시 북구 두호동 1099-7 ,054 -254 -3900,2025-08-14
일반음식점,갈바리골 막걸리,"경상북도 포항시 북구 천마로 106 (양덕동,(1층))",경상북도 포항시 북구 양덕동 1359 (1층) ,054 -254 -4375,2025-08-14
일반음식점,어시장,"경상북도 포항시 북구 장량중앙로100번길 1, 상가동 1층 101호 (양덕동, 포항장량LH천년나무6단지아파트)",경상북도 포항시 북구 양덕동 785-1 포항장량LH천년나무6단지아파트 상가동 101호,054 -254 -4454,2025-08-14
일반음식점,네네치킨엔봉구스밥버거 용흥점,"경상북도 포항시 북구 새마을로 54-1, 1층 (용흥동)",경상북도 포항시 북구 용흥동 373-10 ,054 -254 -4482,2025-08-14
일반음식점,오상궁,"경상북도 포항시 북구 천마로 77, B동 (양덕동,(1층))",경상북도 포항시 북구 양덕동 1342 (1층) B동 ,054 -254 -4646,2025-08-14
일반음식점,송민기 참숯화로,"경상북도 포항시 북구 장량로 205, 1층 (양덕동)",경상북도 포항시 북구 양덕동 1761 (1층) ,054 -254 -4647,2025-08-14
일반음식점,톡톡톡과메기&부산가야밀면,"경상북도 포항시 북구 장량로174번길 19-1, 1층 (양덕동)",경상북도 포항시 북구 양덕동 1633 ,054 -254 -5456,2025-08-14
일반음식점,쿠바,"경상북도 포항시 북구 장량로18번길 67 (장성동,(1층))",경상북도 포항시 북구 장성동 1569-4 (1층) ,054 -254 -5493,2025-08-14
일반음식점,오거리참치,경상북도 포항시 북구 죽도로 41 (죽도동),경상북도 포항시 북구 죽도동 43-8 ,054 -254 -5600,2025-08-14
일반음식점,기래이짬뽕,"경상북도 포항시 북구 학산로59번길 3, 1층 (학산동)",경상북도 포항시 북구 학산동 192-1 ,054 -254 -5656,2025-08-14
일반음식점,둥지밀면 칼국수 파전,"경상북도 포항시 북구 삼흥로 395, 1층 (양덕동)",경상북도 포항시 북구 양덕동 914-1 (1층) ,054 -254 -5993,2025-08-14
일반음식점,본죽&비빔밥 포항법원점,"경상북도 포항시 북구 법원로 152, 1층 105호 (양덕동, 대왕프라자)",경상북도 포항시 북구 양덕동 669-3 105호,054 -254 -6288,2025-08-14
일반음식점,玉(옥) 초밥,"경상북도 포항시 북구 삼호로 234, 2층 (두호동)",경상북도 포항시 북구 두호동 550 ,054 -254 -6364,2025-08-14
일반음식점,예월추어탕,"경상북도 포항시 북구 장량중앙로 55, 미소빌딩 1층 105호 (양덕동)",경상북도 포항시 북구 양덕동 657-3 미소빌딩 1층 105호,054 -254 -6788,2025-08-14
일반음식점,대패생각,"경상북도 포항시 북구 장량로 240, 1층 (양덕동)",경상북도 포항시 북구 양덕동 1914 ,054 -254 -7700,2025-08-14
일반음식점,영일궁,"경상북도 포항시 북구 법원로 16, 1층 (장성동)",경상북도 포항시 북구 장성동 1459-4 1층 ,054 -254 -7775,2025-08-14
일반음식점,참기름카페 미소유,경상북도 포항시 북구 학전로 71 (1층)층 (두호동),경상북도 포항시 북구 두호동 1050-12 ,054 -254 -8292,2025-08-14
일반음식점,큰손,"경상북도 포항시 북구 창흥로36번길 10, 1층 (창포동)","경상북도 포항시 북구 창포동 616-4 ,1층 ",054 -254 -8889,2025-08-14
일반음식점,순영네밥집,"경상북도 포항시 북구 죽도시장11길 6-2, 외 2(6-4, 6-5) (죽도동)","경상북도 포항시 북구 죽도동 2-217 외 2(2-221, 2-216) ",054 -254 -8890,2025-08-14
일반음식점,청년피자 흥해초곡점,"경상북도 포항시 북구 흥해읍 초곡지구로 174, 포항 초곡 호반베르디움 근린생활시설-1 1층 103호",경상북도 포항시 북구 흥해읍 초곡리 1766 포항 초곡 호반베르디움 근린생활시설-1 1층 103호 ,054 -254 -9122,2025-08-14
일반음식점,99숙성고기,"경상북도 포항시 북구 우창동로158번길 4, 가동 지하1층 102호 (창포동)",경상북도 포항시 북구 창포동 0 우현1지구 35B 1L 가동 지하1층 102호 ,054 -254 -9450,2025-08-14
일반음식점,포항식당,"경상북도 포항시 북구 청하면 월포로 163-1, 1층",경상북도 포항시 북구 청하면 월포리 92-138 ,054 -254 -9888,2025-08-14
일반음식점,강변육숫간식육식당,경상북도 포항시 남구 효성로30번길 26-10 (효자동),"경상북도 포항시 남구 효자동 592-1 (외1필지, 1층) ",054 -255 -0046,2025-08-14
일반음식점,이경희 진감자탕,"경상북도 포항시 북구 죽파로 25, 1층 (죽도동)",경상북도 포항시 북구 죽도동 114-41 (1층) ,054 -255 -0092,2025-08-14
일반음식점,치킨을사랑한떡볶이 포항장량점,"경상북도 포항시 북구 삼흥로18번길 7-1, 1층 (장성동)",경상북도 포항시 북구 장성동 1355-11 1층 ,054 -255 -0096,2025-08-14
일반음식점,카페올래,"경상북도 포항시 북구 학산로 83-3, 1층 (학산동)",경상북도 포항시 북구 학산동 93-33 1층 ,054 -255 -0365,2025-08-14
일반음식점,노랑통닭 장량점,"경상북도 포항시 북구 장량로 108, 1층 (장성동)",경상북도 포항시 북구 장성동 1419-1 1층 ,054 -255 -0430,2025-08-14
일반음식점,룸마,"경상북도 포항시 북구 장량로190번길 6-10, 1층 (양덕동)",경상북도 포항시 북구 양덕동 1611 1층 ,054 -255 -0504,2025-08-14
